videoId,title,published_at,duration_sec,views,likes,comments
5UOSiCPu5aM,PYTHON LISTES et TUPLES (4/30),2019-09-06 14:00:12+00:00,1136.0,250959,5370,316
x_Jeyvw7n9I,"PYTHON IF/ELSE, WHILE, FOR (3/30)",2019-09-05 14:00:12+00:00,797.0,208830,4413,242
doFpNjdmsw8,PYTHON VARIABLES ET FONCTIONS (2/30),2019-09-04 14:00:13+00:00,902.0,297542,6619,333
82KLS2C_gNQ,FORMATION PYTHON MACHINE LEARNING (2020) (1/30),2019-09-03 14:00:13+00:00,510.0,739197,21162,1171
C0vhs1lVVjE,VISUALISER L'EVOLUTION DE SON MODÈLE DE MACHINE LEARNING,2019-08-23 14:00:11+00:00,456.0,13880,509,58
cpltYCNLIt0,RÉGRESSION LINÉAIRE MULTIPLE AVEC NUMPY - ML#9,2019-08-16 13:58:49+00:00,887.0,132191,2878,300
vG6tDQc86Rs,RÉGRESSION LINÉAIRE NUMPY - ML#8,2019-08-09 14:01:39+00:00,1408.0,158106,3723,489
NgQONgj-1m8,MACHINE LEARNING PYTHON (Teaser),2019-08-06 13:58:11+00:00,27.0,3187,94,22
8GBzamEdMOI,PYTHON : L'ESSENTIEL POUR MACHINE LEARNING - ML#7,2019-08-02 15:01:58+00:00,1004.0,145911,3371,301
8Y3r7F47Xfo,RÉGRESSION LINÉAIRE (partie 2/2) - ML#6,2019-07-26 13:57:45+00:00,817.0,168828,4551,325
a3wYV2qXcMY,MATRICES ET NUMPY - ML#5,2019-07-18 17:07:17+00:00,667.0,159130,4298,251
rcl_YRyoLIY,DESCENTE DE GRADIENT (GRADIENT DESCENT) - ML#4,2019-07-11 14:27:15+00:00,824.0,263375,8071,615
wg7-roETbbM,LA RÉGRESSION LINÉAIRE (partie 1/2) - ML#3,2019-07-03 14:47:41+00:00,699.0,326523,8150,559
K9z0OD22My4,APPRENTISSAGE SUPERVISÉ : LES 4 ÉTAPES - ML#2,2019-06-25 14:35:52+00:00,521.0,297692,8448,419
EUD07IiviJg,FORMATION MACHINE LEARNING (2019) - ML#1,2019-06-19 15:12:15+00:00,452.0,539755,14092,763
jaw5FhWx2Bk,"Comment installer ANACONDA, PYTHON, et TENSORFLOW (sans aucun bug)",2019-06-13 18:59:31+00:00,525.0,164141,3074,251
sqs8DxGhwM8,COMMENT FONCTIONNE LE MACHINE LEARNING ?,2019-04-16 06:04:01+00:00,1158.0,99106,3802,255
